pace,shooting,passing,dribbling,defending,physic,overall
85.0,62.0,66.0,68.0,36.0,67.0,69
68.0,36.0,55.0,59.0,58.0,66.0,60
72.0,32.0,48.0,51.0,56.0,71.0,61
60.0,44.0,52.0,57.0,61.0,71.0,62
72.0,65.0,64.0,69.0,35.0,53.0,66
67.0,63.0,67.0,67.0,50.0,64.0,65
71.0,63.0,46.0,54.0,34.0,73.0,63
80.0,53.0,67.0,71.0,67.0,65.0,73
89.0,64.0,69.0,81.0,52.0,64.0,75
67.0,61.0,67.0,68.0,50.0,60.0,66
69.0,42.0,56.0,61.0,56.0,67.0,61
73.0,35.0,50.0,55.0,71.0,74.0,71
75.0,56.0,61.0,65.0,66.0,78.0,67
60.0,33.0,45.0,43.0,71.0,69.0,69
91.0,27.0,58.0,64.0,58.0,70.0,68
76.0,64.0,53.0,69.0,20.0,67.0,67
68.0,70.0,76.0,77.0,65.0,69.0,76
65.0,53.0,64.0,63.0,54.0,54.0,63
47.0,24.0,46.0,49.0,70.0,72.0,68
73.0,28.0,35.0,46.0,45.0,49.0,52
53.0,48.0,59.0,62.0,69.0,73.0,69
67.0,42.0,49.0,59.0,60.0,73.0,64
54.0,69.0,51.0,59.0,31.0,75.0,67
61.0,28.0,42.0,45.0,61.0,72.0,63
69.0,63.0,47.0,58.0,31.0,76.0,63
52.0,59.0,62.0,56.0,69.0,79.0,70
79.0,64.0,53.0,69.0,24.0,66.0,68
66.0,56.0,62.0,66.0,60.0,64.0,64
49.0,72.0,78.0,72.0,61.0,72.0,75
47.0,61.0,65.0,64.0,54.0,64.0,64
76.0,58.0,62.0,60.0,50.0,64.0,61
47.0,64.0,56.0,67.0,36.0,59.0,64
67.0,62.0,66.0,65.0,65.0,65.0,69
73.0,53.0,60.0,63.0,45.0,53.0,60
74.0,50.0,64.0,68.0,52.0,62.0,66
73.0,47.0,59.0,60.0,61.0,70.0,66
45.0,42.0,48.0,46.0,66.0,76.0,66
65.0,72.0,63.0,66.0,35.0,84.0,72
56.0,23.0,38.0,36.0,56.0,54.0,53
66.0,70.0,62.0,65.0,40.0,75.0,69
75.0,56.0,67.0,70.0,44.0,43.0,66
68.0,49.0,66.0,69.0,66.0,67.0,69
68.0,57.0,56.0,64.0,23.0,41.0,60
85.0,74.0,67.0,71.0,38.0,64.0,73
77.0,64.0,76.0,77.0,72.0,70.0,78
82.0,63.0,71.0,77.0,26.0,46.0,71
76.0,57.0,57.0,61.0,56.0,73.0,63
70.0,53.0,71.0,83.0,71.0,71.0,76
56.0,55.0,39.0,51.0,31.0,68.0,55
71.0,63.0,61.0,68.0,41.0,63.0,66
66.0,46.0,60.0,65.0,68.0,88.0,72
62.0,60.0,67.0,70.0,53.0,74.0,68
51.0,26.0,47.0,58.0,73.0,77.0,72
71.0,69.0,67.0,74.0,54.0,68.0,72
66.0,51.0,63.0,61.0,57.0,66.0,64
61.0,60.0,51.0,62.0,33.0,74.0,62
59.0,63.0,70.0,73.0,64.0,68.0,72
79.0,64.0,60.0,68.0,24.0,47.0,67
71.0,43.0,55.0,63.0,62.0,74.0,64
69.0,44.0,55.0,61.0,52.0,54.0,58
77.0,73.0,60.0,74.0,37.0,68.0,74
53.0,37.0,47.0,50.0,62.0,76.0,65
77.0,42.0,50.0,57.0,58.0,60.0,65
50.0,65.0,53.0,55.0,32.0,77.0,66
75.0,59.0,75.0,72.0,70.0,60.0,75
58.0,50.0,60.0,64.0,31.0,47.0,61
56.0,32.0,48.0,50.0,67.0,64.0,65
54.0,36.0,54.0,61.0,70.0,73.0,69
69.0,42.0,60.0,64.0,65.0,71.0,67
71.0,32.0,50.0,51.0,56.0,60.0,60
56.0,63.0,53.0,60.0,27.0,68.0,62
70.0,40.0,49.0,60.0,64.0,64.0,65
60.0,39.0,47.0,39.0,58.0,59.0,57
78.0,66.0,71.0,81.0,67.0,73.0,74
82.0,61.0,47.0,63.0,24.0,59.0,62
69.0,70.0,74.0,73.0,62.0,66.0,71
77.0,57.0,57.0,63.0,62.0,75.0,68
73.0,57.0,42.0,61.0,28.0,58.0,58
69.0,46.0,50.0,55.0,48.0,55.0,55
55.0,29.0,41.0,43.0,63.0,60.0,61
55.0,54.0,66.0,65.0,62.0,65.0,64
77.0,37.0,57.0,61.0,64.0,80.0,68
72.0,59.0,61.0,65.0,45.0,65.0,61
65.0,32.0,42.0,58.0,59.0,52.0,59
69.0,40.0,51.0,57.0,61.0,67.0,64
75.0,72.0,73.0,77.0,65.0,73.0,75
65.0,37.0,57.0,65.0,72.0,82.0,72
72.0,57.0,68.0,64.0,67.0,71.0,72
69.0,50.0,60.0,66.0,58.0,62.0,64
67.0,42.0,54.0,63.0,63.0,56.0,66
65.0,54.0,46.0,53.0,23.0,53.0,54
64.0,63.0,46.0,59.0,24.0,59.0,63
68.0,71.0,71.0,74.0,26.0,43.0,71
78.0,36.0,60.0,66.0,62.0,77.0,67
67.0,52.0,63.0,62.0,63.0,61.0,67
65.0,24.0,28.0,32.0,52.0,52.0,50
87.0,69.0,67.0,78.0,44.0,67.0,76
40.0,54.0,53.0,52.0,40.0,58.0,54
88.0,61.0,71.0,76.0,27.0,52.0,74
58.0,45.0,55.0,58.0,68.0,75.0,68
57.0,51.0,59.0,58.0,58.0,71.0,60
31.0,67.0,74.0,62.0,36.0,48.0,63
63.0,69.0,73.0,72.0,57.0,65.0,71
61.0,43.0,53.0,60.0,53.0,56.0,56
49.0,31.0,40.0,48.0,64.0,66.0,63
57.0,24.0,33.0,39.0,53.0,62.0,53
68.0,26.0,49.0,56.0,62.0,49.0,66
31.0,69.0,48.0,49.0,37.0,75.0,64
56.0,24.0,36.0,34.0,57.0,55.0,55
59.0,56.0,38.0,61.0,30.0,59.0,60
81.0,48.0,58.0,57.0,62.0,73.0,68
65.0,51.0,42.0,54.0,23.0,54.0,52
67.0,76.0,81.0,86.0,50.0,60.0,82
49.0,49.0,63.0,54.0,61.0,62.0,62
70.0,55.0,68.0,68.0,66.0,68.0,71
71.0,64.0,76.0,76.0,75.0,69.0,77
85.0,57.0,55.0,63.0,54.0,66.0,65
82.0,61.0,63.0,65.0,49.0,66.0,67
81.0,55.0,59.0,65.0,59.0,70.0,67
71.0,56.0,62.0,67.0,57.0,63.0,64
73.0,53.0,38.0,53.0,20.0,63.0,56
68.0,67.0,51.0,65.0,24.0,50.0,60
67.0,74.0,83.0,82.0,69.0,69.0,80
72.0,57.0,69.0,69.0,71.0,74.0,73
76.0,42.0,56.0,65.0,61.0,62.0,66
66.0,51.0,64.0,62.0,62.0,54.0,63
73.0,37.0,51.0,62.0,66.0,71.0,68
39.0,62.0,51.0,55.0,33.0,78.0,62
77.0,60.0,56.0,65.0,28.0,56.0,63
62.0,47.0,58.0,67.0,72.0,80.0,73
48.0,52.0,56.0,57.0,67.0,72.0,68
80.0,56.0,62.0,67.0,67.0,69.0,69
70.0,65.0,55.0,65.0,31.0,68.0,63
57.0,60.0,60.0,61.0,60.0,70.0,63
60.0,64.0,41.0,56.0,24.0,53.0,60
61.0,57.0,51.0,58.0,51.0,61.0,58
54.0,32.0,45.0,43.0,59.0,67.0,59
60.0,45.0,43.0,48.0,26.0,39.0,47
68.0,55.0,62.0,67.0,71.0,65.0,71
80.0,58.0,66.0,73.0,52.0,48.0,69
66.0,44.0,52.0,60.0,59.0,64.0,63
32.0,46.0,56.0,50.0,72.0,75.0,71
64.0,54.0,62.0,62.0,50.0,47.0,60
38.0,25.0,46.0,36.0,74.0,71.0,72
72.0,57.0,65.0,75.0,64.0,58.0,68
73.0,60.0,62.0,66.0,39.0,63.0,65
85.0,59.0,59.0,67.0,42.0,63.0,66
75.0,75.0,71.0,78.0,36.0,80.0,77
62.0,25.0,39.0,48.0,55.0,70.0,57
81.0,42.0,64.0,75.0,70.0,71.0,75
57.0,50.0,57.0,53.0,63.0,75.0,65
69.0,66.0,67.0,68.0,33.0,79.0,69
68.0,46.0,60.0,59.0,89.0,85.0,86
68.0,58.0,62.0,63.0,50.0,61.0,65
56.0,34.0,50.0,54.0,55.0,61.0,56
65.0,42.0,58.0,60.0,75.0,78.0,75
77.0,68.0,72.0,78.0,73.0,76.0,75
73.0,59.0,57.0,63.0,24.0,48.0,62
89.0,31.0,57.0,64.0,56.0,61.0,66
93.0,65.0,64.0,75.0,27.0,51.0,73
63.0,52.0,58.0,64.0,68.0,75.0,69
64.0,31.0,54.0,54.0,65.0,62.0,64
70.0,66.0,61.0,68.0,22.0,66.0,68
66.0,31.0,50.0,54.0,63.0,67.0,63
77.0,58.0,47.0,63.0,28.0,71.0,62
82.0,44.0,60.0,68.0,65.0,73.0,71
90.0,82.0,71.0,77.0,56.0,62.0,77
68.0,71.0,56.0,68.0,31.0,77.0,72
72.0,67.0,70.0,81.0,41.0,55.0,73
72.0,46.0,58.0,60.0,61.0,67.0,62
52.0,58.0,43.0,55.0,28.0,57.0,56
70.0,53.0,36.0,52.0,20.0,59.0,55
73.0,47.0,60.0,64.0,55.0,63.0,63
80.0,71.0,67.0,76.0,36.0,69.0,72
65.0,55.0,62.0,61.0,62.0,77.0,66
79.0,63.0,66.0,76.0,34.0,57.0,70
77.0,73.0,70.0,77.0,50.0,79.0,75
66.0,43.0,48.0,57.0,33.0,52.0,49
70.0,73.0,75.0,78.0,71.0,80.0,78
71.0,44.0,60.0,66.0,64.0,65.0,68
33.0,27.0,52.0,51.0,69.0,75.0,69
75.0,66.0,53.0,68.0,24.0,49.0,66
69.0,60.0,65.0,74.0,35.0,58.0,68
63.0,54.0,53.0,59.0,34.0,52.0,57
64.0,51.0,64.0,65.0,43.0,43.0,58
68.0,37.0,47.0,52.0,43.0,46.0,50
46.0,48.0,53.0,58.0,71.0,77.0,72
51.0,57.0,57.0,58.0,58.0,67.0,60
73.0,61.0,56.0,72.0,63.0,67.0,67
63.0,49.0,54.0,57.0,46.0,54.0,56
69.0,54.0,38.0,50.0,19.0,50.0,54
71.0,62.0,62.0,71.0,33.0,39.0,66
45.0,49.0,54.0,52.0,67.0,75.0,68
63.0,42.0,50.0,51.0,63.0,74.0,65
71.0,58.0,60.0,64.0,55.0,63.0,62
34.0,33.0,40.0,48.0,73.0,80.0,71
67.0,67.0,58.0,62.0,30.0,70.0,66
60.0,42.0,57.0,61.0,54.0,61.0,59
73.0,69.0,72.0,71.0,49.0,60.0,68
64.0,59.0,56.0,64.0,32.0,49.0,60
65.0,29.0,44.0,56.0,59.0,59.0,61
64.0,49.0,53.0,59.0,33.0,51.0,56
64.0,54.0,62.0,65.0,51.0,54.0,62
67.0,45.0,47.0,53.0,50.0,61.0,54
66.0,40.0,56.0,61.0,76.0,73.0,73
71.0,60.0,53.0,66.0,29.0,65.0,63
70.0,51.0,57.0,54.0,60.0,75.0,62
65.0,66.0,70.0,71.0,68.0,65.0,70
62.0,40.0,59.0,65.0,60.0,49.0,61
70.0,36.0,54.0,60.0,57.0,66.0,62
56.0,52.0,60.0,62.0,55.0,64.0,60
86.0,66.0,62.0,71.0,40.0,49.0,69
49.0,69.0,72.0,69.0,70.0,66.0,71
67.0,61.0,53.0,65.0,29.0,61.0,65
49.0,54.0,38.0,44.0,26.0,67.0,53
62.0,33.0,43.0,52.0,68.0,70.0,67
61.0,37.0,52.0,54.0,63.0,70.0,63
60.0,31.0,54.0,60.0,59.0,53.0,60
71.0,58.0,45.0,58.0,30.0,68.0,61
50.0,29.0,56.0,52.0,63.0,67.0,65
71.0,31.0,47.0,47.0,65.0,66.0,65
79.0,54.0,71.0,73.0,75.0,63.0,77
91.0,82.0,79.0,87.0,45.0,66.0,88
82.0,58.0,61.0,67.0,36.0,47.0,64
65.0,53.0,64.0,62.0,51.0,63.0,62
61.0,58.0,61.0,63.0,55.0,71.0,63
54.0,70.0,69.0,70.0,41.0,73.0,69
70.0,44.0,61.0,66.0,55.0,68.0,62
51.0,22.0,47.0,45.0,60.0,71.0,61
65.0,60.0,64.0,67.0,67.0,75.0,70
63.0,62.0,59.0,63.0,42.0,45.0,62
41.0,47.0,49.0,48.0,72.0,79.0,72
89.0,56.0,53.0,67.0,30.0,59.0,64
76.0,74.0,68.0,76.0,37.0,63.0,74
81.0,25.0,35.0,37.0,64.0,73.0,64
43.0,33.0,41.0,51.0,57.0,67.0,58
77.0,49.0,51.0,59.0,29.0,46.0,56
58.0,36.0,49.0,52.0,63.0,71.0,64
67.0,56.0,68.0,72.0,56.0,64.0,67
71.0,50.0,67.0,61.0,50.0,60.0,62
80.0,61.0,61.0,66.0,45.0,65.0,63
60.0,68.0,74.0,66.0,64.0,72.0,70
82.0,47.0,64.0,69.0,63.0,70.0,70
86.0,63.0,62.0,72.0,41.0,62.0,70
80.0,58.0,56.0,64.0,56.0,64.0,63
70.0,47.0,60.0,60.0,66.0,70.0,69
35.0,47.0,56.0,61.0,60.0,70.0,63
59.0,65.0,74.0,73.0,69.0,75.0,76
79.0,58.0,51.0,62.0,25.0,48.0,60
71.0,47.0,62.0,64.0,54.0,63.0,62
54.0,65.0,67.0,61.0,70.0,80.0,75
66.0,46.0,57.0,61.0,67.0,76.0,69
58.0,70.0,54.0,62.0,40.0,54.0,66
66.0,42.0,43.0,47.0,49.0,64.0,55
75.0,61.0,75.0,74.0,70.0,62.0,76
66.0,60.0,71.0,71.0,67.0,71.0,72
59.0,34.0,48.0,54.0,62.0,73.0,63
56.0,22.0,32.0,35.0,49.0,52.0,48
58.0,50.0,58.0,53.0,75.0,74.0,74
79.0,71.0,68.0,76.0,50.0,61.0,73
63.0,29.0,43.0,46.0,60.0,55.0,59
55.0,30.0,43.0,46.0,65.0,76.0,67
70.0,52.0,58.0,62.0,62.0,76.0,66
70.0,50.0,58.0,63.0,38.0,60.0,60
62.0,78.0,66.0,74.0,40.0,80.0,77
73.0,68.0,61.0,67.0,37.0,72.0,67
60.0,35.0,52.0,55.0,37.0,50.0,52
75.0,77.0,53.0,72.0,36.0,71.0,76
80.0,52.0,45.0,61.0,23.0,42.0,57
71.0,67.0,54.0,62.0,31.0,74.0,69
59.0,24.0,42.0,42.0,57.0,59.0,58
41.0,57.0,59.0,60.0,68.0,66.0,68
66.0,52.0,67.0,63.0,68.0,78.0,71
88.0,64.0,53.0,72.0,24.0,55.0,65
62.0,54.0,57.0,56.0,62.0,72.0,63
71.0,72.0,68.0,73.0,28.0,62.0,71
83.0,55.0,70.0,70.0,74.0,81.0,79
66.0,48.0,52.0,53.0,56.0,62.0,59
69.0,49.0,50.0,59.0,56.0,55.0,60
69.0,29.0,46.0,57.0,57.0,56.0,61
56.0,22.0,35.0,39.0,52.0,59.0,52
59.0,25.0,47.0,51.0,68.0,64.0,64
69.0,46.0,55.0,61.0,33.0,51.0,57
66.0,67.0,73.0,73.0,48.0,49.0,70
57.0,28.0,37.0,48.0,59.0,63.0,59
89.0,53.0,46.0,60.0,35.0,47.0,57
77.0,56.0,52.0,65.0,40.0,46.0,60
79.0,60.0,58.0,64.0,47.0,55.0,60
49.0,26.0,47.0,43.0,63.0,67.0,63
70.0,55.0,48.0,56.0,27.0,39.0,54
70.0,91.0,83.0,83.0,47.0,83.0,90
66.0,70.0,72.0,74.0,73.0,74.0,75
81.0,66.0,74.0,78.0,62.0,68.0,76
83.0,63.0,61.0,68.0,52.0,65.0,68
60.0,68.0,77.0,82.0,66.0,67.0,77
75.0,47.0,60.0,71.0,59.0,53.0,64
45.0,64.0,41.0,57.0,27.0,70.0,64
65.0,30.0,50.0,57.0,66.0,79.0,68
78.0,75.0,71.0,76.0,31.0,78.0,76
59.0,72.0,61.0,67.0,30.0,68.0,70
67.0,50.0,44.0,56.0,27.0,43.0,51
66.0,57.0,60.0,65.0,62.0,68.0,65
71.0,28.0,49.0,44.0,58.0,66.0,61
76.0,54.0,59.0,62.0,66.0,75.0,67
62.0,50.0,56.0,59.0,52.0,54.0,56
62.0,45.0,55.0,56.0,40.0,50.0,57
49.0,33.0,48.0,51.0,67.0,78.0,70
78.0,64.0,74.0,77.0,50.0,54.0,73
66.0,60.0,47.0,58.0,23.0,65.0,60
72.0,61.0,46.0,61.0,25.0,79.0,63
76.0,61.0,57.0,63.0,32.0,46.0,62
65.0,36.0,51.0,44.0,59.0,66.0,61
77.0,60.0,65.0,65.0,69.0,72.0,68
72.0,63.0,59.0,68.0,24.0,62.0,66
71.0,49.0,61.0,68.0,72.0,73.0,73
62.0,65.0,63.0,63.0,49.0,60.0,63
61.0,27.0,47.0,47.0,61.0,67.0,61
74.0,63.0,47.0,64.0,19.0,63.0,63
75.0,44.0,54.0,61.0,42.0,42.0,53
67.0,70.0,51.0,68.0,29.0,81.0,74
66.0,40.0,54.0,50.0,39.0,55.0,53
73.0,47.0,55.0,62.0,55.0,45.0,61
92.0,57.0,52.0,67.0,30.0,71.0,64
68.0,29.0,48.0,57.0,66.0,64.0,65
56.0,48.0,57.0,61.0,58.0,60.0,62
79.0,59.0,56.0,70.0,29.0,40.0,63
72.0,58.0,71.0,75.0,74.0,68.0,75
64.0,55.0,63.0,63.0,61.0,67.0,64
79.0,54.0,68.0,69.0,72.0,69.0,74
72.0,26.0,55.0,61.0,61.0,46.0,64
85.0,57.0,63.0,70.0,66.0,76.0,72
83.0,59.0,58.0,63.0,22.0,48.0,63
76.0,74.0,73.0,75.0,74.0,83.0,77
64.0,49.0,51.0,56.0,38.0,46.0,55
73.0,67.0,74.0,71.0,67.0,80.0,73
70.0,45.0,46.0,53.0,35.0,40.0,52
69.0,59.0,62.0,63.0,53.0,67.0,63
64.0,42.0,59.0,63.0,63.0,69.0,64
60.0,33.0,55.0,57.0,68.0,77.0,69
85.0,68.0,52.0,69.0,22.0,69.0,69
69.0,45.0,62.0,63.0,67.0,74.0,71
59.0,63.0,60.0,61.0,60.0,68.0,64
54.0,36.0,47.0,49.0,63.0,72.0,64
70.0,45.0,50.0,57.0,34.0,56.0,53
91.0,54.0,53.0,64.0,34.0,50.0,62
52.0,37.0,42.0,51.0,67.0,76.0,67
89.0,71.0,69.0,81.0,32.0,61.0,76
65.0,45.0,55.0,56.0,62.0,72.0,63
61.0,61.0,68.0,72.0,72.0,71.0,74
59.0,28.0,41.0,41.0,63.0,61.0,61
77.0,30.0,48.0,58.0,56.0,58.0,60
73.0,32.0,42.0,45.0,64.0,74.0,63
72.0,35.0,44.0,42.0,58.0,60.0,58
57.0,26.0,41.0,37.0,51.0,68.0,53
92.0,61.0,57.0,69.0,45.0,75.0,68
56.0,44.0,54.0,61.0,66.0,80.0,68
82.0,66.0,48.0,60.0,20.0,70.0,66
71.0,47.0,55.0,61.0,37.0,41.0,58
64.0,67.0,57.0,63.0,31.0,73.0,67
85.0,51.0,60.0,65.0,53.0,71.0,65
67.0,51.0,54.0,58.0,50.0,52.0,56
64.0,55.0,60.0,67.0,41.0,51.0,63
58.0,27.0,40.0,44.0,64.0,71.0,64
66.0,38.0,51.0,55.0,55.0,60.0,57
70.0,30.0,44.0,54.0,49.0,50.0,54
75.0,36.0,51.0,55.0,72.0,74.0,72
51.0,31.0,39.0,35.0,57.0,67.0,58
65.0,47.0,49.0,49.0,52.0,56.0,54
66.0,61.0,70.0,75.0,78.0,73.0,78
76.0,71.0,55.0,71.0,26.0,63.0,71
68.0,36.0,56.0,60.0,79.0,80.0,76
58.0,31.0,46.0,40.0,61.0,61.0,59
58.0,76.0,79.0,82.0,65.0,70.0,79
67.0,61.0,63.0,64.0,61.0,67.0,66
71.0,41.0,57.0,63.0,76.0,77.0,75
64.0,57.0,62.0,63.0,35.0,41.0,61
45.0,27.0,38.0,42.0,66.0,74.0,66
77.0,52.0,58.0,64.0,55.0,67.0,64
72.0,45.0,67.0,66.0,83.0,79.0,82
62.0,60.0,68.0,66.0,46.0,61.0,67
67.0,53.0,61.0,65.0,66.0,67.0,69
73.0,53.0,65.0,64.0,60.0,63.0,64
84.0,72.0,64.0,74.0,35.0,52.0,71
68.0,70.0,51.0,62.0,35.0,66.0,69
71.0,53.0,63.0,66.0,49.0,61.0,64
74.0,56.0,60.0,63.0,36.0,59.0,64
64.0,26.0,51.0,54.0,63.0,69.0,64
71.0,39.0,54.0,65.0,59.0,52.0,65
70.0,50.0,37.0,53.0,20.0,48.0,52
67.0,41.0,54.0,57.0,61.0,66.0,63
71.0,38.0,51.0,58.0,66.0,75.0,67
76.0,60.0,42.0,54.0,21.0,65.0,60
61.0,23.0,39.0,43.0,54.0,62.0,54
63.0,67.0,67.0,72.0,77.0,78.0,75
32.0,55.0,64.0,66.0,64.0,75.0,71
79.0,47.0,55.0,61.0,59.0,64.0,66
71.0,55.0,56.0,61.0,56.0,68.0,62
76.0,71.0,61.0,71.0,34.0,73.0,70
77.0,49.0,52.0,63.0,35.0,51.0,57
74.0,41.0,56.0,62.0,60.0,70.0,65
90.0,81.0,79.0,85.0,38.0,68.0,84
73.0,40.0,53.0,64.0,60.0,64.0,65
79.0,50.0,57.0,66.0,36.0,49.0,61
60.0,26.0,29.0,36.0,57.0,75.0,59
67.0,43.0,53.0,60.0,53.0,61.0,57
66.0,56.0,61.0,66.0,53.0,62.0,63
88.0,60.0,53.0,68.0,27.0,60.0,64
72.0,63.0,52.0,57.0,66.0,46.0,70
55.0,41.0,50.0,56.0,63.0,80.0,65
66.0,59.0,70.0,70.0,72.0,82.0,74
69.0,43.0,59.0,61.0,58.0,57.0,63
75.0,60.0,45.0,53.0,21.0,65.0,59
68.0,40.0,52.0,58.0,43.0,46.0,54
63.0,24.0,32.0,41.0,46.0,60.0,49
71.0,71.0,75.0,78.0,34.0,65.0,75
61.0,65.0,59.0,63.0,21.0,67.0,67
67.0,42.0,56.0,61.0,66.0,77.0,68
80.0,55.0,73.0,76.0,81.0,81.0,82
72.0,54.0,60.0,66.0,64.0,64.0,65
82.0,67.0,61.0,69.0,35.0,71.0,68
57.0,72.0,64.0,66.0,38.0,74.0,72
34.0,39.0,49.0,39.0,62.0,78.0,63
35.0,54.0,54.0,55.0,61.0,74.0,63
73.0,62.0,61.0,65.0,28.0,47.0,63
53.0,66.0,72.0,74.0,75.0,73.0,75
69.0,35.0,50.0,59.0,64.0,74.0,66
58.0,25.0,36.0,44.0,58.0,70.0,59
80.0,75.0,70.0,78.0,38.0,69.0,76
67.0,50.0,67.0,67.0,62.0,65.0,69
60.0,52.0,58.0,60.0,54.0,56.0,58
74.0,72.0,65.0,71.0,29.0,72.0,71
71.0,62.0,65.0,70.0,33.0,44.0,66
68.0,40.0,45.0,59.0,30.0,39.0,52
83.0,56.0,59.0,63.0,52.0,73.0,60
75.0,54.0,57.0,61.0,58.0,71.0,64
64.0,57.0,71.0,75.0,64.0,71.0,71
52.0,56.0,59.0,58.0,65.0,66.0,66
66.0,59.0,65.0,72.0,44.0,49.0,67
78.0,29.0,42.0,52.0,51.0,52.0,56
77.0,63.0,57.0,61.0,47.0,80.0,66
72.0,50.0,44.0,55.0,29.0,56.0,54
67.0,55.0,43.0,52.0,19.0,63.0,54
83.0,62.0,64.0,67.0,40.0,45.0,65
51.0,60.0,64.0,67.0,62.0,66.0,64
85.0,71.0,63.0,70.0,20.0,56.0,71
70.0,60.0,43.0,58.0,23.0,68.0,61
73.0,70.0,46.0,72.0,22.0,63.0,70
71.0,47.0,63.0,71.0,66.0,64.0,68
75.0,61.0,63.0,73.0,40.0,44.0,66
66.0,32.0,52.0,54.0,63.0,61.0,63
81.0,59.0,59.0,69.0,43.0,60.0,67
84.0,75.0,68.0,81.0,33.0,72.0,77
80.0,70.0,73.0,77.0,70.0,76.0,75
53.0,61.0,47.0,56.0,22.0,48.0,58
90.0,62.0,57.0,71.0,43.0,67.0,68
61.0,61.0,47.0,57.0,31.0,77.0,62
67.0,44.0,52.0,57.0,42.0,56.0,53
80.0,68.0,61.0,67.0,27.0,48.0,67
50.0,70.0,57.0,65.0,36.0,81.0,69
91.0,50.0,65.0,77.0,64.0,68.0,73
67.0,40.0,54.0,57.0,58.0,69.0,62
79.0,43.0,50.0,55.0,66.0,70.0,66
88.0,76.0,57.0,73.0,31.0,68.0,73
77.0,62.0,67.0,75.0,43.0,48.0,69
83.0,75.0,65.0,73.0,42.0,73.0,75
81.0,63.0,57.0,74.0,25.0,43.0,68
47.0,37.0,53.0,52.0,64.0,78.0,66
33.0,60.0,64.0,61.0,65.0,65.0,65
66.0,51.0,63.0,64.0,59.0,63.0,62
69.0,35.0,49.0,49.0,58.0,72.0,60
84.0,58.0,59.0,68.0,51.0,54.0,67
83.0,38.0,48.0,63.0,66.0,55.0,69
74.0,35.0,45.0,59.0,61.0,61.0,63
49.0,65.0,63.0,67.0,41.0,60.0,63
71.0,67.0,67.0,71.0,52.0,61.0,70
66.0,36.0,47.0,49.0,50.0,60.0,55
51.0,30.0,37.0,48.0,65.0,72.0,65
66.0,46.0,58.0,57.0,62.0,66.0,63
65.0,73.0,70.0,71.0,39.0,74.0,73
40.0,43.0,43.0,49.0,70.0,70.0,70
88.0,57.0,51.0,70.0,27.0,53.0,65
76.0,55.0,62.0,72.0,43.0,51.0,66
82.0,69.0,58.0,66.0,34.0,81.0,70
47.0,71.0,77.0,78.0,77.0,69.0,79
67.0,56.0,60.0,66.0,50.0,67.0,64
53.0,29.0,34.0,32.0,55.0,69.0,57
68.0,38.0,52.0,57.0,64.0,74.0,66
68.0,55.0,68.0,73.0,48.0,54.0,67
71.0,61.0,66.0,71.0,68.0,69.0,73
62.0,69.0,54.0,65.0,29.0,76.0,68
72.0,29.0,35.0,52.0,48.0,50.0,53
60.0,76.0,76.0,74.0,70.0,74.0,76
73.0,58.0,63.0,61.0,47.0,73.0,65
65.0,39.0,49.0,53.0,42.0,42.0,50
85.0,62.0,61.0,68.0,38.0,67.0,68
53.0,22.0,34.0,41.0,52.0,59.0,53
77.0,53.0,66.0,73.0,70.0,72.0,74
67.0,26.0,46.0,47.0,70.0,71.0,68
70.0,74.0,79.0,77.0,66.0,73.0,78
75.0,54.0,60.0,62.0,58.0,59.0,64
84.0,55.0,49.0,64.0,18.0,45.0,61
67.0,40.0,54.0,62.0,49.0,55.0,56
36.0,40.0,50.0,49.0,68.0,73.0,68
66.0,28.0,59.0,63.0,77.0,73.0,74
85.0,66.0,69.0,77.0,34.0,56.0,74
62.0,61.0,71.0,71.0,74.0,69.0,74
73.0,74.0,65.0,69.0,38.0,63.0,71
55.0,48.0,60.0,57.0,63.0,74.0,67
63.0,39.0,62.0,68.0,70.0,66.0,69
65.0,72.0,71.0,76.0,33.0,68.0,73
73.0,51.0,55.0,63.0,64.0,63.0,68
77.0,74.0,77.0,82.0,68.0,71.0,78
54.0,64.0,64.0,64.0,67.0,78.0,68
77.0,59.0,54.0,65.0,40.0,69.0,63
59.0,55.0,60.0,64.0,32.0,57.0,60
76.0,59.0,45.0,58.0,27.0,74.0,62
61.0,55.0,64.0,65.0,60.0,59.0,64
54.0,40.0,54.0,53.0,61.0,60.0,61
74.0,59.0,50.0,58.0,70.0,71.0,69
30.0,63.0,55.0,62.0,19.0,46.0,59
69.0,64.0,49.0,67.0,18.0,67.0,68
50.0,25.0,38.0,40.0,70.0,74.0,68
70.0,57.0,64.0,68.0,65.0,75.0,69
57.0,48.0,63.0,61.0,80.0,78.0,80
81.0,58.0,62.0,67.0,57.0,61.0,65
77.0,39.0,59.0,64.0,70.0,76.0,71
78.0,47.0,46.0,57.0,23.0,60.0,55
64.0,40.0,54.0,58.0,56.0,55.0,57
74.0,73.0,83.0,81.0,49.0,74.0,80
64.0,43.0,58.0,58.0,60.0,70.0,65
68.0,74.0,58.0,65.0,23.0,77.0,71
71.0,46.0,65.0,68.0,69.0,68.0,72
66.0,53.0,35.0,53.0,18.0,56.0,53
76.0,59.0,53.0,68.0,22.0,61.0,64
39.0,47.0,39.0,42.0,67.0,73.0,67
72.0,65.0,65.0,68.0,30.0,59.0,67
70.0,50.0,52.0,59.0,27.0,60.0,55
