,potential,age,height_cm,weight_kg,league_level,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,attacking_work_rate,defending_work_rate,overall
15917,75,19,171,60,1.0,4,3,1,65.0,45.0,60.0,68.0,53.0,46.0,53,43,54,66,36,68,58,49,62,67,66,64,77,55,86,53,65,44,39,40,61,53,53,60,47,59,46,59,53,11,6,5,13,14,3,3,60
14859,67,23,185,80,1.0,3,2,1,51.0,22.0,47.0,45.0,60.0,71.0,37,17,56,59,15,37,22,23,60,57,47,55,42,55,48,42,51,60,83,16,61,63,21,37,24,47,57,63,58,10,7,7,9,6,3,3,61
1613,75,35,172,68,1.0,4,3,1,77.0,60.0,66.0,71.0,71.0,80.0,47,57,52,75,54,70,64,59,72,71,77,77,74,72,80,72,74,92,71,57,88,72,64,68,62,72,72,74,73,8,8,15,11,14,5,5,75
11750,73,22,180,73,1.3565146006801923,3,3,1,75.0,63.0,61.0,63.0,53.0,70.0,59,64,58,61,54,63,63,58,61,64,76,75,62,61,61,65,64,75,67,63,72,53,63,62,57,63,50,56,44,7,10,5,10,13,3,5,64
10933,80,19,163,68,1.0,2,4,1,79.0,58.0,59.0,75.0,22.0,60.0,52,57,29,64,51,75,64,51,49,73,85,74,91,54,93,61,43,74,64,64,36,18,53,65,45,58,16,27,24,9,13,6,5,13,3,3,65
2040,74,29,179,74,1.0,3,3,2,70.0,59.0,70.0,71.0,71.0,70.0,73,56,66,73,53,71,62,46,69,74,69,71,69,71,64,73,72,76,66,55,70,70,68,69,49,72,70,73,73,15,10,8,13,11,3,3,74
9036,70,25,180,71,3.0,3,3,1,63.0,65.0,69.0,65.0,61.0,67.0,67,63,53,70,52,63,70,73,68,64,62,64,72,63,74,74,64,68,63,66,75,62,61,69,53,65,58,65,64,12,7,8,8,12,3,3,66
2363,83,22,183,82,2.0,3,4,1,86.0,72.0,68.0,75.0,48.0,70.0,70,77,68,67,65,72,64,66,64,75,88,85,87,68,81,69,66,81,66,68,68,47,71,70,62,72,43,48,45,5,13,7,8,13,5,1,74
11174,64,30,185,83,1.0,3,2,1,54.0,59.0,59.0,63.0,65.0,79.0,45,55,66,68,57,61,50,40,64,65,53,54,60,62,69,69,72,77,78,61,87,62,58,58,48,63,63,67,65,7,16,16,10,14,3,5,64
3626,73,29,183,78,1.0,3,2,1,60.0,43.0,54.0,51.0,72.0,76.0,35,38,76,66,30,51,45,55,68,52,65,56,36,66,53,63,88,63,82,43,75,77,23,44,43,63,68,72,70,10,9,14,6,15,3,5,72
2376,83,21,191,79,1.0,3,2,1,67.0,64.0,70.0,66.0,75.0,73.0,69,57,73,72,52,66,68,72,73,71,56,76,58,74,36,84,70,75,74,70,67,77,44,66,57,67,72,76,76,10,13,9,7,6,3,3,74
12156,67,25,180,77,1.0,3,2,1,62.0,30.0,41.0,40.0,65.0,64.0,29,27,68,61,40,23,33,44,23,55,58,65,49,60,62,39,70,63,68,20,55,65,28,33,58,44,62,68,65,9,9,6,13,6,3,5,64
7962,67,27,183,72,1.0,3,2,1,70.0,50.0,56.0,62.0,63.0,69.0,68,45,52,62,45,63,60,45,47,64,70,70,57,62,66,58,64,71,71,56,63,63,55,42,42,56,62,67,67,8,15,6,8,7,3,3,67
11068,64,35,176,62,1.0,2,3,1,69.0,61.0,61.0,69.0,57.0,51.0,64,55,62,63,63,66,58,61,55,67,68,70,91,68,80,73,72,67,37,66,60,56,63,58,44,61,56,56,55,6,6,13,12,9,5,3,64
4831,70,29,183,73,2.0,3,2,1,40.0,52.0,63.0,65.0,68.0,77.0,62,42,62,66,35,61,55,46,65,72,49,32,64,67,62,66,76,85,77,66,69,68,48,64,56,65,69,69,67,12,11,9,6,9,1,5,70
11978,73,22,177,64,1.0,2,2,1,87.0,46.0,54.0,53.0,56.0,50.0,73,38,50,60,30,51,34,31,60,45,90,84,79,52,76,65,65,80,32,50,54,54,53,31,37,47,61,54,54,7,8,7,13,13,5,5,64
11396,65,27,188,77,1.0,2,2,1,75.0,62.0,53.0,62.0,36.0,70.0,54,64,66,56,56,61,58,48,44,62,74,76,72,55,72,68,70,66,80,54,52,30,64,55,58,54,30,36,36,8,6,9,9,13,3,3,64
3749,79,22,187,78,1.0,4,3,1,50.0,57.0,68.0,72.0,67.0,74.0,57,56,65,75,48,71,59,48,74,75,49,50,69,69,68,60,66,78,76,59,64,66,57,69,47,71,63,72,68,10,8,12,12,6,3,3,72
5533,69,30,188,92,2.0,3,2,1,70.0,67.0,57.0,62.0,50.0,84.0,57,68,72,63,57,62,42,34,56,64,67,73,60,65,53,74,80,77,91,62,75,52,68,56,66,59,44,49,48,15,12,8,16,8,5,3,69
18478,70,19,181,72,3.0,3,2,1,63.0,33.0,39.0,43.0,51.0,63.0,26,33,48,49,28,38,39,36,44,41,60,66,54,51,70,40,68,61,67,27,55,54,24,33,36,38,53,50,49,7,10,15,8,10,5,3,53
1733,75,31,177,74,1.0,3,4,2,88.0,74.0,66.0,73.0,46.0,75.0,67,75,74,68,62,72,73,67,60,72,89,88,84,73,72,80,91,81,76,70,61,40,74,65,68,63,50,40,38,9,12,16,9,8,5,5,75
1383,82,24,178,68,1.0,4,4,1,85.0,72.0,70.0,79.0,68.0,72.0,74,69,60,69,67,79,78,74,55,78,83,86,81,76,80,77,71,78,66,74,78,69,74,77,67,75,68,69,67,13,15,7,6,9,3,3,76
3322,72,28,195,89,2.0,2,2,1,55.0,73.0,50.0,60.0,34.0,79.0,31,75,79,63,64,59,46,31,43,68,46,62,46,72,34,83,52,59,92,63,78,23,73,58,62,72,26,38,21,14,10,15,11,15,3,3,72
3469,72,30,189,85,1.0,3,2,1,64.0,47.0,60.0,56.0,73.0,83.0,52,39,67,69,41,57,40,41,67,53,54,73,53,68,52,60,55,86,83,53,84,71,46,55,46,65,75,73,75,7,12,12,11,13,3,5,72
11850,74,21,170,62,2.0,3,2,1,72.0,26.0,55.0,61.0,61.0,46.0,60,28,59,67,30,60,34,28,42,58,71,73,76,58,62,22,61,61,39,20,41,58,41,51,32,53,61,65,60,6,8,15,14,10,5,3,64
6393,75,23,180,77,1.3565146006801923,3,2,1,80.0,66.0,61.0,69.0,32.0,55.0,65,72,37,67,54,73,55,39,48,69,81,79,68,56,64,66,47,64,58,57,36,23,67,65,64,52,25,43,34,6,14,13,9,7,5,3,69
13586,67,24,193,73,4.0,3,2,1,53.0,27.0,44.0,47.0,61.0,75.0,34,21,60,53,23,40,32,24,48,51,54,53,52,57,47,38,68,77,81,25,59,60,36,42,35,57,62,62,61,8,11,9,9,14,3,3,62
2245,76,21,180,82,1.0,2,3,1,68.0,48.0,62.0,66.0,74.0,77.0,75,20,71,70,56,65,64,70,46,68,63,72,66,65,61,87,74,69,78,68,84,73,36,42,65,67,74,76,75,10,7,9,7,8,1,3,74
2866,73,21,185,81,1.0,3,2,1,73.0,49.0,53.0,54.0,75.0,69.0,49,43,73,53,44,44,43,45,71,63,69,77,64,73,43,57,52,41,84,51,71,69,37,47,75,70,78,76,74,11,8,10,10,9,3,3,73
8089,67,29,175,67,1.0,3,3,1,74.0,60.0,68.0,69.0,52.0,67.0,64,57,49,69,54,68,68,75,68,69,74,74,75,63,72,64,70,86,61,67,55,59,66,68,42,63,50,52,45,5,6,13,7,14,5,5,67
7750,67,34,189,82,2.0,3,3,1,54.0,68.0,55.0,65.0,36.0,73.0,44,68,70,64,67,65,46,32,56,67,60,49,63,67,57,70,72,59,85,65,63,27,69,57,66,69,30,36,35,13,12,10,10,7,3,1,67
617,84,24,172,65,1.0,4,4,3,73.0,73.0,80.0,81.0,64.0,67.0,76,73,57,82,68,81,78,74,79,83,75,72,80,76,87,80,45,68,63,72,83,60,73,84,49,77,67,68,61,11,10,13,7,9,5,5,79
13107,64,27,186,75,1.0,3,2,1,57.0,60.0,60.0,61.0,60.0,70.0,56,60,65,65,48,61,57,52,61,65,54,59,52,60,54,65,74,80,64,56,70,58,64,58,65,60,56,62,62,5,13,8,11,13,5,3,63
7155,71,25,174,65,1.0,3,2,1,75.0,44.0,60.0,68.0,66.0,67.0,53,36,59,65,35,67,45,35,63,63,74,76,79,65,71,53,75,71,60,47,75,68,75,65,49,79,63,69,69,11,5,7,9,7,5,3,68
3985,71,28,185,86,2.0,4,2,1,69.0,33.0,58.0,62.0,68.0,77.0,58,24,68,63,34,59,37,24,61,65,65,73,59,67,63,55,83,68,78,32,83,69,37,60,20,65,68,67,73,8,9,7,8,10,3,5,71
5031,74,24,178,68,1.0,4,3,1,82.0,47.0,64.0,69.0,63.0,70.0,67,44,47,68,46,66,68,42,62,69,82,82,84,67,80,54,71,82,64,42,72,63,66,62,45,62,65,67,64,7,13,6,13,13,3,3,70
15556,69,19,190,83,1.0,3,2,1,65.0,60.0,42.0,58.0,33.0,64.0,37,63,62,47,61,60,45,39,39,57,62,68,60,53,49,64,62,55,75,51,50,28,59,40,54,49,39,26,12,15,9,8,11,9,3,1,60
5011,77,23,172,68,1.0,3,4,1,70.0,70.0,65.0,74.0,32.0,63.0,45,73,57,75,65,75,70,67,65,74,71,70,77,69,73,71,60,67,65,67,55,25,69,67,61,72,28,31,34,15,10,13,16,15,5,1,70
7184,76,23,188,79,1.0,3,3,1,77.0,56.0,60.0,64.0,62.0,73.0,64,58,58,62,52,65,62,53,60,64,75,78,61,62,57,58,67,85,73,52,59,63,62,54,50,60,62,64,62,14,12,11,10,9,5,3,68
3203,72,30,186,82,1.0,3,3,1,72.0,62.0,68.0,73.0,73.0,72.0,73,56,60,70,59,75,69,52,61,76,66,76,66,74,53,75,61,72,74,64,71,73,74,66,53,68,74,76,71,12,15,12,11,10,5,3,72
10263,72,24,173,70,1.0,3,3,1,72.0,59.0,64.0,65.0,63.0,68.0,52,58,57,70,38,64,72,65,66,66,71,72,70,62,70,66,67,72,71,59,55,59,59,61,58,59,64,66,63,13,15,14,14,13,3,3,65
10901,83,18,173,64,1.0,3,3,1,73.0,55.0,62.0,71.0,39.0,44.0,63,56,47,65,48,72,56,52,61,72,72,74,77,50,81,54,69,62,32,58,46,35,53,61,49,55,37,42,37,9,14,14,13,10,5,5,65
3256,73,28,190,84,2.0,2,2,1,52.0,38.0,56.0,56.0,72.0,72.0,49,29,74,65,23,51,27,31,64,61,49,55,53,72,56,61,66,52,81,34,74,70,52,55,42,63,69,75,72,6,14,8,9,9,3,3,72
12573,70,25,178,75,1.0,4,2,1,76.0,47.0,53.0,55.0,63.0,70.0,47,48,63,61,47,51,39,51,57,50,78,74,78,59,73,56,81,75,70,38,59,65,48,46,34,48,62,65,59,9,14,9,14,12,3,3,63
4037,71,30,170,59,1.0,3,3,1,86.0,60.0,65.0,76.0,27.0,45.0,69,61,38,65,62,75,67,57,59,71,87,85,92,68,92,60,90,67,31,57,39,28,68,68,54,74,21,29,24,11,10,9,10,15,3,3,71
583,82,26,184,83,1.0,3,3,2,88.0,51.0,69.0,73.0,74.0,80.0,77,49,67,69,39,72,64,48,65,74,88,88,76,73,73,66,78,91,78,44,74,70,72,68,35,71,75,76,80,8,7,7,14,14,5,3,79
15173,60,36,180,70,1.0,4,2,1,49.0,55.0,56.0,55.0,60.0,66.0,56,51,59,56,52,55,63,57,57,53,57,42,55,58,64,66,63,65,66,58,69,62,50,55,46,56,60,58,58,8,16,7,14,14,3,5,60
11030,82,18,191,79,2.0,3,2,1,67.0,34.0,56.0,60.0,64.0,67.0,51,26,60,61,33,58,49,34,61,63,70,64,50,63,70,45,74,56,73,38,65,63,43,57,39,61,64,65,64,15,14,8,10,14,5,3,65
572,79,28,181,79,1.0,3,4,2,71.0,82.0,77.0,79.0,39.0,74.0,78,83,73,78,80,78,82,73,72,79,77,66,80,82,79,82,71,77,75,83,67,39,83,80,64,79,29,40,30,11,15,16,12,15,5,3,79
9193,72,24,181,75,3.0,4,3,1,90.0,57.0,57.0,67.0,45.0,69.0,62,59,41,55,53,68,56,57,49,66,91,90,77,53,65,58,63,68,72,56,65,43,54,62,50,60,46,48,40,11,5,11,12,14,5,5,66
17023,57,28,185,70,1.0,2,2,1,65.0,52.0,52.0,56.0,57.0,69.0,41,50,60,57,42,53,48,46,58,57,67,63,63,53,71,55,54,80,67,57,64,56,50,52,44,58,55,59,58,15,10,8,16,8,3,3,57
18493,62,22,184,72,1.0,3,2,1,57.0,26.0,41.0,37.0,51.0,68.0,35,24,52,49,29,31,29,25,46,39,58,56,44,47,57,35,74,70,71,21,56,47,29,35,31,39,50,54,52,12,9,8,7,14,3,5,53
11743,74,21,183,78,2.0,4,3,1,76.0,62.0,44.0,66.0,24.0,57.0,41,68,57,49,46,65,35,29,32,66,84,70,73,62,70,57,69,60,64,57,33,13,67,53,64,58,27,20,19,15,9,11,13,11,3,3,64
17231,67,20,192,83,3.0,2,2,1,55.0,35.0,47.0,51.0,56.0,60.0,36,34,52,56,32,52,38,34,52,54,60,51,54,48,34,43,33,34,74,30,64,56,35,44,38,43,54,58,55,11,10,6,7,10,3,3,57
6172,69,29,185,77,1.0,3,2,1,56.0,52.0,70.0,66.0,68.0,70.0,63,45,64,76,59,61,61,40,75,75,61,51,61,62,67,62,65,72,71,61,64,64,46,71,44,66,65,74,72,7,8,10,11,9,1,3,69
1973,74,35,193,88,2.0,3,2,3,32.0,58.0,51.0,55.0,76.0,74.0,28,56,79,60,47,56,48,27,60,59,33,32,31,72,36,63,73,55,81,64,81,74,45,56,53,75,77,77,74,5,12,9,5,12,3,3,74
17599,69,20,185,69,2.0,3,2,1,61.0,43.0,53.0,60.0,53.0,56.0,43,42,52,59,48,62,48,46,62,55,62,60,64,52,70,50,60,53,57,35,55,50,48,49,50,54,55,52,53,6,14,14,7,5,3,3,56
13118,68,23,187,77,3.0,3,2,1,86.0,40.0,57.0,63.0,55.0,64.0,60,36,50,61,29,64,61,28,45,62,85,86,69,51,65,57,61,72,62,29,61,55,52,60,51,58,52,60,57,10,14,6,15,7,5,3,63
15846,65,24,180,76,1.0,3,3,1,74.0,60.0,48.0,60.0,24.0,55.0,55,64,57,48,47,63,56,34,36,58,72,76,60,52,64,62,65,61,57,52,38,25,57,52,58,48,21,18,17,10,9,13,13,10,3,3,60
6473,68,32,168,66,1.0,3,3,2,61.0,51.0,65.0,70.0,63.0,63.0,55,48,50,71,42,67,53,55,70,72,63,59,72,68,78,63,67,67,60,48,62,66,57,65,45,75,64,64,62,12,12,10,14,15,3,3,68
8049,74,24,183,71,1.0,3,3,1,86.0,64.0,57.0,70.0,38.0,67.0,57,66,59,58,57,69,55,39,55,71,84,87,74,62,69,68,71,69,68,59,60,30,64,62,51,64,42,35,29,8,8,9,6,9,5,1,67
9689,66,31,179,67,2.0,2,2,1,85.0,25.0,45.0,54.0,62.0,71.0,53,24,60,50,21,54,29,25,41,50,84,85,64,58,69,25,68,83,69,23,62,60,40,42,33,47,61,66,63,15,9,12,9,9,3,3,66
8018,67,31,181,77,1.0,2,2,1,57.0,37.0,38.0,43.0,65.0,78.0,30,40,69,55,29,34,30,23,30,50,50,63,36,61,64,43,82,70,80,25,80,64,36,30,45,52,60,67,70,13,11,8,14,10,3,5,67
2951,73,29,180,74,1.0,3,2,1,66.0,40.0,56.0,61.0,76.0,73.0,60,36,81,59,28,61,60,52,56,63,64,68,59,64,63,51,66,71,76,38,72,72,42,47,44,46,75,76,77,14,11,13,10,11,3,5,73
4088,72,29,186,76,1.0,3,2,1,41.0,33.0,49.0,52.0,70.0,78.0,23,18,71,69,40,42,28,26,69,56,50,34,71,70,53,73,76,76,80,23,77,71,25,35,43,65,67,71,76,13,9,9,10,15,3,3,71
9465,66,28,178,73,1.0,4,3,1,74.0,61.0,61.0,67.0,47.0,68.0,57,62,58,64,57,68,59,65,63,66,73,74,67,64,66,65,67,76,69,61,57,41,63,57,45,59,44,50,48,14,12,8,10,8,5,3,66
11989,64,28,172,65,1.0,3,2,1,61.0,55.0,64.0,65.0,60.0,59.0,56,51,42,68,43,63,58,60,66,66,66,56,72,57,77,63,64,58,58,60,61,63,61,68,46,66,66,60,49,15,13,11,10,10,3,3,64
16651,67,20,187,83,1.0,3,2,1,61.0,40.0,50.0,56.0,54.0,67.0,55,41,56,54,31,55,35,29,52,54,57,65,71,52,55,40,79,68,75,39,44,58,43,47,37,43,52,51,56,10,11,11,10,5,5,3,58
5414,72,23,179,73,1.0,3,2,1,72.0,70.0,61.0,67.0,38.0,73.0,59,75,70,62,63,67,63,56,61,72,68,75,62,67,61,65,66,80,78,67,54,22,69,62,62,62,37,38,36,13,12,7,6,14,3,1,70
18745,67,19,165,62,1.0,3,2,1,68.0,40.0,45.0,59.0,30.0,39.0,39,38,36,46,37,57,46,41,42,56,70,67,73,52,77,51,47,41,35,30,43,24,59,53,43,51,32,31,28,9,6,12,6,8,3,3,52
18313,69,19,180,70,1.0,3,2,1,56.0,24.0,34.0,38.0,54.0,60.0,24,20,54,45,27,30,28,27,34,41,54,57,50,50,65,30,72,51,69,21,44,58,24,28,39,35,51,55,53,8,8,13,13,13,1,3,54
15022,69,21,185,80,1.0,2,2,1,65.0,32.0,37.0,44.0,60.0,68.0,24,28,57,53,26,33,28,24,41,56,63,66,42,57,55,34,71,59,74,41,63,55,23,25,33,51,62,63,60,10,13,10,10,15,3,3,61
4636,70,37,188,82,1.0,3,2,2,49.0,49.0,58.0,59.0,73.0,67.0,68,41,76,62,31,59,69,47,62,60,49,49,55,66,46,65,67,59,72,57,65,70,50,38,48,71,74,72,72,9,5,4,6,4,3,3,70
15389,69,23,173,70,1.0,3,2,1,68.0,48.0,63.0,64.0,45.0,51.0,54,46,47,68,46,65,54,54,71,61,67,69,58,55,86,53,54,33,63,48,42,30,47,64,53,66,51,45,56,5,5,5,11,6,3,3,60
5348,74,23,176,72,1.0,3,2,1,91.0,67.0,64.0,70.0,61.0,73.0,64,68,55,65,51,69,68,67,62,69,90,91,82,65,80,73,73,92,65,68,68,62,64,62,45,62,60,63,59,6,10,10,6,8,5,3,70
8231,69,28,183,78,1.0,3,2,1,51.0,25.0,42.0,47.0,70.0,65.0,32,23,73,59,23,35,22,22,38,51,49,53,59,67,65,34,72,64,72,16,49,68,20,35,51,59,68,73,70,13,14,11,15,11,1,5,67
18938,73,18,186,78,1.0,3,2,1,56.0,36.0,48.0,51.0,49.0,52.0,40,32,52,55,28,53,38,36,52,48,53,58,52,50,57,50,56,41,57,30,52,48,33,48,42,43,47,49,54,9,7,10,8,7,3,3,51
18063,64,21,174,69,1.0,3,2,1,57.0,32.0,32.0,39.0,58.0,52.0,26,29,58,40,30,33,30,35,27,38,63,52,46,51,76,48,67,64,45,21,53,51,31,29,39,44,52,67,64,14,15,15,13,11,1,5,55
17410,67,19,178,64,1.0,2,2,1,69.0,33.0,46.0,51.0,52.0,52.0,55,30,49,48,28,52,37,40,39,50,71,67,53,53,47,36,64,56,50,32,50,51,43,40,40,47,50,55,56,11,15,12,9,11,3,3,57
10958,83,18,182,70,1.0,3,2,1,67.0,33.0,54.0,61.0,67.0,61.0,41,28,63,68,35,59,46,30,65,63,69,66,68,59,62,47,82,57,60,28,61,63,30,43,41,61,68,69,65,7,11,5,7,8,3,3,65
9501,75,21,190,80,1.0,4,2,1,76.0,68.0,55.0,62.0,26.0,67.0,50,65,61,59,62,62,74,73,43,65,75,76,64,57,55,75,70,64,72,69,57,17,63,52,67,55,27,22,17,6,11,15,10,6,5,3,66
6998,72,24,178,76,1.0,3,2,1,80.0,67.0,58.0,65.0,33.0,72.0,61,70,61,63,64,66,39,42,63,65,81,80,68,58,65,69,77,78,72,60,63,18,70,50,62,65,21,44,37,7,7,10,12,14,5,3,68
366,81,25,181,82,1.0,3,2,1,71.0,61.0,57.0,63.0,82.0,80.0,40,56,83,67,63,60,72,58,58,64,68,74,61,78,63,74,91,76,79,61,86,82,58,50,62,70,77,85,84,18,12,14,11,18,5,3,81
2491,73,29,180,73,1.0,3,3,1,75.0,74.0,66.0,73.0,39.0,70.0,65,74,69,68,69,74,63,66,63,72,76,74,73,71,70,75,65,82,69,76,59,36,74,68,68,68,38,36,26,11,14,13,15,6,5,1,73
2529,73,30,175,67,1.0,3,3,2,72.0,62.0,71.0,71.0,72.0,62.0,72,57,54,71,43,72,78,75,73,72,73,71,70,71,74,72,70,65,56,69,70,74,71,66,52,63,74,73,72,6,8,7,10,15,3,3,73
204,82,31,185,82,1.0,3,4,4,82.0,84.0,82.0,80.0,55.0,70.0,86,82,84,80,85,80,91,87,79,83,80,83,78,78,64,90,84,61,76,87,64,53,82,79,76,85,50,53,50,15,15,11,5,6,3,3,82
3501,72,31,180,79,1.0,3,3,1,82.0,44.0,68.0,70.0,65.0,78.0,71,30,52,68,47,68,70,58,66,70,81,82,79,67,75,64,80,91,78,48,60,66,58,68,55,65,65,67,66,9,7,11,8,7,5,5,72
15940,70,19,188,80,2.0,3,2,1,54.0,62.0,49.0,56.0,20.0,62.0,30,64,63,57,37,54,61,30,53,59,55,53,60,55,59,68,70,59,67,60,53,17,56,52,61,50,14,13,19,14,9,10,14,10,5,3,60
16325,77,19,190,77,1.0,3,3,1,75.0,59.0,40.0,55.0,18.0,55.0,35,61,55,46,48,59,35,34,31,54,73,77,44,60,44,58,79,44,67,56,32,16,57,46,65,47,15,12,13,15,15,10,11,11,3,3,59
12980,66,25,178,68,1.0,3,2,1,73.0,28.0,52.0,55.0,57.0,59.0,56,23,49,56,25,54,53,42,48,55,73,73,59,56,71,31,60,79,52,28,53,66,51,48,39,47,54,56,57,12,10,10,14,7,5,3,63
18023,69,20,180,75,1.0,3,2,1,92.0,43.0,36.0,55.0,48.0,58.0,47,47,49,32,20,56,38,30,24,48,92,92,67,56,65,50,62,57,61,35,50,46,53,43,32,46,47,48,50,11,11,12,11,11,5,3,55
3522,72,28,183,80,1.0,3,3,1,63.0,54.0,64.0,64.0,71.0,78.0,53,39,69,72,37,65,41,69,73,67,58,67,57,69,47,75,71,75,80,69,80,72,57,59,58,58,70,72,68,11,15,10,10,12,5,5,72
10349,70,25,170,62,1.0,5,3,1,72.0,52.0,65.0,70.0,41.0,49.0,65,49,34,68,50,70,53,36,67,70,73,71,72,55,86,54,65,72,40,57,41,25,62,66,48,60,63,32,37,6,13,7,10,6,5,3,65
18173,68,21,182,71,4.0,3,2,1,67.0,49.0,55.0,55.0,42.0,56.0,47,48,39,58,47,52,55,55,58,55,68,66,75,49,57,45,49,64,60,51,39,35,52,57,55,51,44,44,43,14,7,12,9,13,3,3,54
15176,60,33,185,75,1.0,3,3,1,43.0,57.0,63.0,61.0,60.0,66.0,65,54,63,64,51,60,66,60,62,63,48,39,60,59,56,68,49,48,73,57,76,58,53,62,59,66,59,60,62,14,8,16,12,7,3,3,60
10135,67,25,180,68,3.0,3,2,1,71.0,38.0,56.0,63.0,60.0,69.0,61,33,52,59,30,62,46,37,54,59,73,70,80,57,83,49,80,85,64,38,58,59,56,56,38,53,60,62,60,15,9,9,11,10,5,3,65
11178,64,29,177,77,4.0,3,2,1,69.0,56.0,62.0,65.0,59.0,71.0,60,51,55,64,54,62,61,60,62,63,69,69,81,63,78,62,79,86,64,59,68,59,61,63,54,61,60,60,59,12,12,14,16,14,3,3,64
19007,58,23,174,68,1.0,2,2,1,61.0,24.0,34.0,34.0,49.0,49.0,40,20,47,32,25,27,28,29,30,30,62,61,43,49,77,31,66,62,44,19,43,51,30,37,38,40,46,50,50,13,10,8,13,9,3,3,50
17967,68,20,185,81,3.0,4,2,1,73.0,53.0,42.0,56.0,18.0,62.0,32,58,48,51,42,53,38,29,35,59,73,73,62,55,64,48,75,64,72,47,32,16,50,46,58,48,16,11,19,11,10,6,12,10,3,3,55
6970,68,25,179,72,1.0,3,2,1,65.0,45.0,49.0,62.0,70.0,60.0,57,40,67,43,44,64,72,62,30,56,62,68,57,71,70,50,83,38,63,50,73,69,42,56,46,72,70,70,72,8,9,11,8,10,3,3,68
17823,55,31,176,73,1.0,4,2,1,68.0,27.0,55.0,57.0,53.0,65.0,57,22,48,59,27,56,42,37,53,57,69,67,65,54,65,29,58,62,74,28,47,56,53,53,31,51,55,52,50,9,10,14,8,13,5,3,55
3578,72,29,177,76,1.0,3,2,1,68.0,69.0,70.0,71.0,69.0,76.0,61,67,76,76,56,73,64,60,73,75,64,71,65,63,53,75,72,81,75,71,71,68,67,71,62,66,68,68,69,7,9,14,14,12,3,3,72
9338,75,21,174,69,3.0,3,3,1,81.0,66.0,65.0,69.0,56.0,48.0,60,64,51,66,62,67,65,64,65,66,82,80,88,64,83,68,68,78,34,70,39,58,64,67,57,64,53,59,53,7,11,5,12,6,5,3,66
5350,75,24,184,84,1.0,3,3,1,69.0,69.0,52.0,68.0,22.0,64.0,34,73,68,61,53,68,45,38,48,72,68,69,59,64,57,68,68,58,80,65,32,13,73,61,69,67,21,16,15,7,14,10,14,14,5,1,70
11446,66,26,178,74,1.0,3,2,1,70.0,33.0,60.0,62.0,57.0,70.0,60,31,40,62,37,59,62,58,59,61,73,68,73,54,72,35,59,80,65,33,71,57,43,58,34,61,60,60,55,8,7,7,8,7,3,3,64
14483,61,32,178,77,1.0,1,2,1,74.0,39.0,49.0,57.0,55.0,66.0,50,34,36,55,33,56,56,29,45,53,76,73,70,57,74,47,69,73,65,41,59,53,43,44,40,56,57,60,61,8,14,12,10,11,5,3,61
14150,75,20,190,90,1.0,3,2,1,51.0,30.0,49.0,52.0,60.0,72.0,29,21,60,60,28,51,29,33,58,58,48,53,40,55,47,54,64,48,87,21,66,60,44,53,45,58,58,62,56,11,8,10,9,5,3,3,62
1607,75,32,190,83,1.0,3,2,2,47.0,30.0,55.0,54.0,76.0,74.0,40,28,77,68,21,44,51,40,60,65,45,48,48,76,46,30,79,62,78,29,77,75,40,47,42,74,76,78,75,12,12,13,14,12,1,5,75
8911,67,28,190,88,1.0,2,2,1,50.0,32.0,45.0,45.0,64.0,78.0,34,25,68,59,27,40,30,25,52,48,47,52,44,63,47,51,80,63,84,31,81,64,25,35,37,60,65,62,59,14,13,15,8,8,3,3,66
10864,65,34,175,76,1.0,3,2,1,69.0,30.0,51.0,59.0,63.0,59.0,61,32,59,60,25,54,52,29,49,60,73,65,67,62,74,28,64,70,59,23,45,63,47,33,30,54,65,62,60,11,14,14,10,10,3,3,65
2265,74,29,167,63,1.0,3,2,1,86.0,64.0,71.0,78.0,39.0,52.0,65,70,43,79,51,84,56,52,74,82,89,83,62,53,77,55,54,61,49,61,48,33,66,68,62,51,41,41,37,11,6,13,11,8,5,5,74
1113,83,21,183,70,1.0,2,3,1,72.0,68.0,77.0,80.0,53.0,67.0,81,66,59,77,57,81,77,75,72,80,74,71,76,75,77,70,68,78,65,71,57,46,73,75,62,77,57,54,44,6,14,14,12,14,3,5,77
17666,65,22,178,70,4.0,5,3,1,74.0,54.0,40.0,57.0,21.0,52.0,32,57,52,48,49,56,37,30,36,53,75,74,79,53,74,55,66,58,50,49,44,15,57,42,53,42,16,22,17,6,13,14,10,13,3,3,56
18425,72,17,178,72,1.0,2,2,1,69.0,29.0,39.0,46.0,51.0,48.0,43,28,44,43,28,45,31,27,38,42,71,68,62,50,59,30,66,52,44,25,46,52,40,36,32,34,47,56,54,14,15,10,12,6,3,3,54
